Хәния Фәрхи
Вәсилә Фәттахова
Салават Фәтхетдинов
Зөләйха Хисмәтуллина
Габдрахман Хәбибуллин
Роза Хәбибуллина (1959)
Зөфәр Хәйретдинов
Айгөл Хәйруллина
Гөлдания Хәйруллина
Зөлфәт Хәким
Хәлидә Зәбирова
Лилия Хәмитова
Габидулла Хөрмәтуллин
Азат Хөсәенов (1958)
Илһам Шакиров
Шакур
Марат Шәйбәков
Венера Шәрипова
Зөһрә Шәрифуллина
Резидә Шәрәфиева
Эмиль Җәләлетдинов
Эссе төркеме
Радик Юлъякшин
Таһир Якупов
Ярамир Низаметдинов
Җәваһирә Сәләхова
Усман Әлмиев
Альберт Әсәдуллин
Әлфия Авзалова
Илдар Әхмәтов
