Бурсыклы буендагы бәрелеш
Бәдер сугышы
Гарәп яулары
Идегәйнең Киевка явы (1416)
Идегәйнең Мәскәүгә явы (1408)
Йөз еллык сугыш
Кавказ сугышы
Калка буендагы бәрелеш
Киев шәһәрен камап алу (1240)
Косово бәрелеше
Сит бәрелеше
Совет-фин сугышы (1939-1940)
Талас бәрелеше
Өхед сугышы
АКШ бәйсезлеге өчен сугыш
Беренче инглиз-бур сугышы
Икенче инглиз-бур сугышы
Инглиз-бур сугышлары
Фолкленд сугышы
Бөек Ватан сугышы
Казан танк университеты
Кама (танк үзәге)
АКШ бәйсезлеге өчен сугыш
Испан-америка сугышы
Ливония сугышы
Төньяк сугыш
Чукчаларның Русия империясенә каршы көрәше
